"","Sentence","Interviewee","State","Region","Verb","Verbal_S","Type_of_Subject","Person","Number","Adjacency","Preceding_Segment","Following_Segment","ThirdSingular","Verbal_aspect","Aspect","Verb_Type","Verb2r","PersonNumber"
"1","sometimes I now (cut off) tuh do dumpin' an' fogits what I wants tuh do","Annie Stanton","AL","Gulf","forget","s","Pronoun","First","Singular","N","C","C","N","state","habitual","rest","forget","First - Singular"
"2","Lor, yes I guess we had 'nough, but, 'tearn't much","Annie Stanton","AL","Gulf","guess","0","Pronoun","First","Singular","A","S","C","N","state","non-habitual","rest","guess","First - Singular"
"3","den I has tuh go bac' tuh de place whar I started from so I kin 'member whats I started tuh do.","Annie Stanton","AL","Gulf","have","s","Pronoun","First","Singular","A","irregular","C","N","state","non-habitual","dhg","have","First - Singular"
"4","looks lack de dogs might ob ahd dem dey is so turrible lookin.","Annie Stanton","AL","Gulf","look","s","Null","First","Singular","A","C","C","N","state","non-habitual","rest","look","First - Singular"
"5","c'ase I 'members when we wuz li'l chillun","Annie Stanton","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"6","I 'members one Christmas when I wuz a Li'l gal","Annie Stanton","AL","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"7","sometimes I now (cut off) tuh do dumpin' an' fogits what I wants tuh do","Annie Stanton","AL","Gulf","want","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","want","First - Singular"
"8","but I reckon I does purty well considerin' I is a hundred years old.","Anthony Abercrombie","AL","Mountain","do","s","Pronoun","First","Singular","A","irregular","C","N","dynamic","habitual","dhg","do","First - Singular"
"9","but I knows you is white folks","Anthony Abercrombie","AL","Mountain","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"10","I knows I's dat old 'cause my mistis put it down in de Bible","Anthony Abercrombie","AL","Mountain","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"11","but I reckon I does purty well considerin' I is a hundred years old.","Anthony Abercrombie","AL","Mountain","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
